# checksum_filename                  qpkg_filename                    package_name         version      arch   short_path                               hash
Bazarr_250919_arm_64.qpkg.md5        Bazarr_250919_arm_64.qpkg        Bazarr               250919       a64    sherpa.packages/QPKGs/Bazarr/build       8483953e334aa748331f88e2230f309a
Bazarr_250919_x86_64.qpkg.md5        Bazarr_250919_x86_64.qpkg        Bazarr               250919       i64    sherpa.packages/QPKGs/Bazarr/build       313c21aa35801e105f9938ff64e51198
ClamAV_250919.qpkg.md5               ClamAV_250919.qpkg               ClamAV               250919       all    sherpa.packages/QPKGs/ClamAV/build       0bb0bbb63ad3a248247ede9317f7b5c3
duf_250910_arm_64.qpkg.md5           duf_250910_arm_64.qpkg           duf                  250910       a64    duf/build                                f9a61e6dc5b834d744b98bcefb631ea7
duf_250910_arm-x31.qpkg.md5          duf_250910_arm-x31.qpkg          duf                  250910       a31    duf/build                                64f79a357575e33be5c9fcaee8e54542
duf_250910_arm-x41.qpkg.md5          duf_250910_arm-x41.qpkg          duf                  250910       a41    duf/build                                7a03577f5595c565bf800076dcc8abb8
duf_250910_x86_64.qpkg.md5           duf_250910_x86_64.qpkg           duf                  250910       i64    duf/build                                6185392ec69315ce2b092e37ba427707
duf_250910_x86.qpkg.md5              duf_250910_x86.qpkg              duf                  250910       i86    duf/build                                7666bf38b76fd3d574c479182b6900ea
Entware_1.03a_std.qpkg.md5           Entware_1.03a_std.qpkg           Entware              1.03a        all    sherpa.packages/QPKGs/Entware/build      deb88a170716d39309d124ad77875b4d
Glances_250919_arm_64.qpkg.md5       Glances_250919_arm_64.qpkg       Glances              250919       a64    sherpa.packages/QPKGs/Glances/build      c19093e377861333842ef73addf66946
Glances_250919_arm-x19.qpkg.md5      Glances_250919_arm-x19.qpkg      Glances              250919       a19    sherpa.packages/QPKGs/Glances/build      1011cc21cef747ae7835c039f3d1a9bb
Glances_250919_arm-x31.qpkg.md5      Glances_250919_arm-x31.qpkg      Glances              250919       a31    sherpa.packages/QPKGs/Glances/build      0373a6ef9e9a5bfb056aac0063c973eb
Glances_250919_arm-x41.qpkg.md5      Glances_250919_arm-x41.qpkg      Glances              250919       a41    sherpa.packages/QPKGs/Glances/build      acede59c3180caf80a52ba57583cb71a
Glances_250919_x86_64.qpkg.md5       Glances_250919_x86_64.qpkg       Glances              250919       i64    sherpa.packages/QPKGs/Glances/build      1eaf7086d14f4167d0aa9d45af7dc3ff
Glances_250919_x86_ce53xx.qpkg.md5   Glances_250919_x86_ce53xx.qpkg   Glances              250919       i53    sherpa.packages/QPKGs/Glances/build      f2e39aa5231fbdaed7863675a9fd62c4
