# checksum_filename                  qpkg_filename                    package_name         version      arch   hash
Bazarr_250425_arm_64.qpkg.md5        Bazarr_250425_arm_64.qpkg        Bazarr               250425       a64    91699455ff6318e471fc6aca2071b90b
Bazarr_250425_x86_64.qpkg.md5        Bazarr_250425_x86_64.qpkg        Bazarr               250425       i64    4e4a31437f3e504f1ab4c321a63a11e7
ClamAV_250425.qpkg.md5               ClamAV_250425.qpkg               ClamAV               250425       all    ba7c81b3789a9ea49045060becdbde76
duf_240731_arm_64.qpkg.md5           duf_240731_arm_64.qpkg           duf                  240731       a64    f57d72a189ad9f49e42a2726e3eadc7c
duf_240731_arm-x31.qpkg.md5          duf_240731_arm-x31.qpkg          duf                  240731       a31    79774fbe8dda0cf9d7431c88f66e5400
duf_240731_arm-x41.qpkg.md5          duf_240731_arm-x41.qpkg          duf                  240731       a41    fdb790fc668345d593598453c3ce1cc0
duf_240731_x86_64.qpkg.md5           duf_240731_x86_64.qpkg           duf                  240731       i64    f8ff52943e04ac3f307a32138a2203a6
duf_240731_x86.qpkg.md5              duf_240731_x86.qpkg              duf                  240731       i86    71d5cc1b5fcf84bf15b4dcff959996f0
Entware_1.03a_std.qpkg.md5           Entware_1.03a_std.qpkg           Entware              1.03a        all    deb88a170716d39309d124ad77875b4d
Glances_250425_arm_64.qpkg.md5       Glances_250425_arm_64.qpkg       Glances              250425       a64    d08a8b9ec2b6ff86e123ffb6a0c6b56a
Glances_250425_arm-x19.qpkg.md5      Glances_250425_arm-x19.qpkg      Glances              250425       a19    1ed9a40303a1a4096343cc3ce0c1946e
Glances_250425_arm-x31.qpkg.md5      Glances_250425_arm-x31.qpkg      Glances              250425       a31    668363388f9aa23db7c7f5ee8593288e
Glances_250425_arm-x41.qpkg.md5      Glances_250425_arm-x41.qpkg      Glances              250425       a41    7f82951100de5f333ce829ab50f297be
Glances_250425_x86_64.qpkg.md5       Glances_250425_x86_64.qpkg       Glances              250425       i64    978a2c82979311fab86393c1c7d2e070
Glances_250425_x86_ce53xx.qpkg.md5   Glances_250425_x86_ce53xx.qpkg   Glances              250425       i53    83cf76c6673c41b9d38a6bed9ed84489
Glances_250425_x86.qpkg.md5          Glances_250425_x86.qpkg          Glances              250425       i86    64edb9a2d6aa9579fa4d20952a6ac46d
Headphones_250425.qpkg.md5           Headphones_250425.qpkg           Headphones           250425       all    05201279c86243960facdae526d647fd
HideThatBanner_240807.qpkg.md5       HideThatBanner_240807.qpkg       HideThatBanner       240807       all    629cd406d0ccf298602001bae7d120ce
IncreaseTimeouts_240808.qpkg.md5     IncreaseTimeouts_240808.qpkg     IncreaseTimeouts     240808       all    0c76a11a0db6d43c75125e68faef04ae
inxi_240813.qpkg.md5                 inxi_240813.qpkg                 inxi                 240813       all    91b0a77dbde5efb1a06093399c53310f
Kapowarr_250425_arm_64.qpkg.md5      Kapowarr_250425_arm_64.qpkg      Kapowarr             250425       a64    85adefcf760a212ae468a98dfabac930
Kapowarr_250425_x86_64.qpkg.md5      Kapowarr_250425_x86_64.qpkg      Kapowarr             250425       i64    dc3f4bb6be451e7088b7ffd67dc83a32
Kapowarr_250425_x86_ce53xx.qpkg.md5  Kapowarr_250425_x86_ce53xx.qpkg  Kapowarr             250425       i53    5b08f17fd6b5754532f4261913239f19
Kapowarr_250425_x86.qpkg.md5         Kapowarr_250425_x86.qpkg         Kapowarr             250425       i86    3102acbd30a19e87280978d15d240fe2
LazyLibrarian_250425.qpkg.md5        LazyLibrarian_250425.qpkg        LazyLibrarian        250425       all    ba1f3d9e37fb5c7218b3c6e2d228f0f7
Mylar3_250425.qpkg.md5               Mylar3_250425.qpkg               Mylar3               250425       all    42c68db5ada7e902781eda7a6ddb2920
nzbget_24.8_arm_64.qpkg.md5          nzbget_24.8_arm_64.qpkg          nzbget               24.8         a64    b3aa3ca4eb9a13fe26ba91427eb7405f
nzbget_24.8_arm-x19.qpkg.md5         nzbget_24.8_arm-x19.qpkg         nzbget               24.8         a19    383a4851ba64f861391d02a823838dd3
nzbget_24.8_arm-x31.qpkg.md5         nzbget_24.8_arm-x31.qpkg         nzbget               24.8         a31    9909a85b8fb2add3db80b6b80050b84f
nzbget_24.8_arm-x41.qpkg.md5         nzbget_24.8_arm-x41.qpkg         nzbget               24.8         a41    721fe585c1dc1e15c3dc8aec7eb135fe
nzbget_24.8_x86_64.qpkg.md5          nzbget_24.8_x86_64.qpkg          nzbget               24.8         i64    7512ff5036dc25b85ca334a57de5c40e
nzbget_24.8_x86.qpkg.md5             nzbget_24.8_x86.qpkg             nzbget               24.8         i86    4edb9d869455b6d0c643e8a85366a652
NZBHydra2_250425_arm_64.qpkg.md5     NZBHydra2_250425_arm_64.qpkg     NZBHydra2            250425       a64    a14dcdd9b0bbc1fefc802fe3cbd6212e
NZBHydra2_250425_x86_64.qpkg.md5     NZBHydra2_250425_x86_64.qpkg     NZBHydra2            250425       i64    7be8aaf1e5b136a77fde7e314ad48063
nzbToMedia_240205.qpkg.md5           nzbToMedia_240205.qpkg           nzbToMedia           240205       all    6a43a3e6a7b04762034a1ad7918addad
OLidarr_250425_arm_64.qpkg.md5       OLidarr_250425_arm_64.qpkg       OLidarr              250425       a64    25dba1316e94a9c0a647b4244ecc1db5
OLidarr_250425_x86_64.qpkg.md5       OLidarr_250425_x86_64.qpkg       OLidarr              250425       i64    8430c2887ff1a8c7c14c7d4a945d6c10
OliveTin_250425_arm_64.qpkg.md5      OliveTin_250425_arm_64.qpkg      OliveTin             250425       a64    c8021d78616805b3af3442e54827c22b
OliveTin_250425_arm-x19.qpkg.md5     OliveTin_250425_arm-x19.qpkg     OliveTin             250425       a19    a97f9a94713d20da1caa8ad8e7226c5b
OliveTin_250425_arm-x31.qpkg.md5     OliveTin_250425_arm-x31.qpkg     OliveTin             250425       a31    740ddabaf47661f9e3a2c5cf07a7721c
OliveTin_250425_arm-x41.qpkg.md5     OliveTin_250425_arm-x41.qpkg     OliveTin             250425       a41    25e36ed08b28c023cdfabfd5dcb31d75
OliveTin_250425_x86_64.qpkg.md5      OliveTin_250425_x86_64.qpkg      OliveTin             250425       i64    c984f5e6bfbbea3e83d134acd3ead13e
OMedusa_250425_arm_64.qpkg.md5       OMedusa_250425_arm_64.qpkg       OMedusa              250425       a64    4dd4b42f9a0c6c1f6e8e29953123a344
OMedusa_250425_arm-x19.qpkg.md5      OMedusa_250425_arm-x19.qpkg      OMedusa              250425       a19    c5b77e2405ee5c27c25b5d5f910633d5
OMedusa_250425_arm-x31.qpkg.md5      OMedusa_250425_arm-x31.qpkg      OMedusa              250425       a31    0ca6c00bf904de5e2dd1e557b7d2f802
OMedusa_250425_arm-x41.qpkg.md5      OMedusa_250425_arm-x41.qpkg      OMedusa              250425       a41    ea4f9d61e09b886dd112d6eff7e5d521
OMedusa_250425_x86_64.qpkg.md5       OMedusa_250425_x86_64.qpkg       OMedusa              250425       i64    e32e124aa49074873e7e3e249a9b5944
OMedusa_250425_x86_ce53xx.qpkg.md5   OMedusa_250425_x86_ce53xx.qpkg   OMedusa              250425       i53    73bb204b9b36cde5253d8b70c279a460
OMedusa_250425_x86.qpkg.md5          OMedusa_250425_x86.qpkg          OMedusa              250425       i86    e615f4c8c068751d483604e0fcb6c7fa
OqBittorrent_250425.qpkg.md5         OqBittorrent_250425.qpkg         OqBittorrent         250425       all    dbebec68973d95a817acfaf2db5a54c6
OReadarr_250425_arm_64.qpkg.md5      OReadarr_250425_arm_64.qpkg      OReadarr             250425       a64    40aa0119b9d89e248ab2796f7578e316
OReadarr_250425_x86_64.qpkg.md5      OReadarr_250425_x86_64.qpkg      OReadarr             250425       i64    e3c39318bce816da6bdef522b597c61d
OSickGear_250425_arm_64.qpkg.md5     OSickGear_250425_arm_64.qpkg     OSickGear            250425       a64    f87cc03bc4f654cb374b105a059242b6
OSickGear_250425_arm-x19.qpkg.md5    OSickGear_250425_arm-x19.qpkg    OSickGear            250425       a19    9eac6ffa46097c28730746547016d89b
OSickGear_250425_arm-x31.qpkg.md5    OSickGear_250425_arm-x31.qpkg    OSickGear            250425       a31    cac3d5fc9b50a7f8cd0b117a0e337782
OSickGear_250425_arm-x41.qpkg.md5    OSickGear_250425_arm-x41.qpkg    OSickGear            250425       a41    583e41c54df55e73c4d67b19401a08c1
OSickGear_250425_x86_64.qpkg.md5     OSickGear_250425_x86_64.qpkg     OSickGear            250425       i64    d728054677aa93bd3d7c9dd87377b0f2
OSickGear_250425_x86_ce53xx.qpkg.md5 OSickGear_250425_x86_ce53xx.qpkg OSickGear            250425       i53    bd36ceec8ffed9ef7f92ac7b8debd04f
OSickGear_250425_x86.qpkg.md5        OSickGear_250425_x86.qpkg        OSickGear            250425       i86    f49b699011bf2216a20b10abe1e69e48
OSonarr_250425_arm_64.qpkg.md5       OSonarr_250425_arm_64.qpkg       OSonarr              250425       a64    dca790122e5ebdc1c8b91e229fc8aa94
OSonarr_250425_x86_64.qpkg.md5       OSonarr_250425_x86_64.qpkg       OSonarr              250425       i64    ab2097c56a3c5092250e73a973fcc178
OTautulli_250425_arm_64.qpkg.md5     OTautulli_250425_arm_64.qpkg     OTautulli            250425       a64    990c8075b2cc4f2646cd50227bed8c7d
OTautulli_250425_arm-x19.qpkg.md5    OTautulli_250425_arm-x19.qpkg    OTautulli            250425       a19    bfa96e74a5518852b54825b911534804
OTautulli_250425_arm-x31.qpkg.md5    OTautulli_250425_arm-x31.qpkg    OTautulli            250425       a31    287540f9f94eb4026993d75b6bf7dedb
OTautulli_250425_arm-x41.qpkg.md5    OTautulli_250425_arm-x41.qpkg    OTautulli            250425       a41    d3c2fa8ba0a391f82bdd0b0c01fc719f
OTautulli_250425_x86_64.qpkg.md5     OTautulli_250425_x86_64.qpkg     OTautulli            250425       i64    d6603b22f5497bbf94b80ca01e691ac3
OTautulli_250425_x86_ce53xx.qpkg.md5 OTautulli_250425_x86_ce53xx.qpkg OTautulli            250425       i53    5f17f070936c39f055db400849114334
OTautulli_250425_x86.qpkg.md5        OTautulli_250425_x86.qpkg        OTautulli            250425       i86    e0d189d7839e06e17149e2b52d0b3c35
OTransmission_250425.qpkg.md5        OTransmission_250425.qpkg        OTransmission        250425       all    19c10a7fb615f18d0884f39177d17495
OWatcher3_250425_arm_64.qpkg.md5     OWatcher3_250425_arm_64.qpkg     OWatcher3            250425       a64    59ce68777c78df11b03d28c11b3bff25
OWatcher3_250425_arm-x19.qpkg.md5    OWatcher3_250425_arm-x19.qpkg    OWatcher3            250425       a19    d3e88d573642249055587fc836d1854c
OWatcher3_250425_arm-x31.qpkg.md5    OWatcher3_250425_arm-x31.qpkg    OWatcher3            250425       a31    a30f82ca0dcc7fc858c5b3f8f4c4f7e8
OWatcher3_250425_arm-x41.qpkg.md5    OWatcher3_250425_arm-x41.qpkg    OWatcher3            250425       a41    a773c04d522e859aabfb5ef269e7c387
OWatcher3_250425_x86_64.qpkg.md5     OWatcher3_250425_x86_64.qpkg     OWatcher3            250425       i64    a661194a0bea354f746088d1b413ea76
OWatcher3_250425_x86_ce53xx.qpkg.md5 OWatcher3_250425_x86_ce53xx.qpkg OWatcher3            250425       i53    ae783a5cab166a4ec2dd20b8afe6d42c
OWatcher3_250425_x86.qpkg.md5        OWatcher3_250425_x86.qpkg        OWatcher3            250425       i86    b3ec5fc21bb2bc23b4630755d037de4e
OWhisparr_250425_arm_64.qpkg.md5     OWhisparr_250425_arm_64.qpkg     OWhisparr            250425       a64    80bfe45f1e5fc58cf7806e617fb20e64
