# qpkg_filename                  package_name         version      arch   short_path                               hash
autobrr_250926_arm_64.qpkg       autobrr              250926       a64    sherpa.packages/QPKGs/autobrr/build      8a51309a3585a9cdfcbb851ddbe1e17e
autobrr_250926_arm-x31.qpkg      autobrr              250926       a31    sherpa.packages/QPKGs/autobrr/build      51f9c98f774ea9d41e388a1cdf10fd86
autobrr_250926_arm-x41.qpkg      autobrr              250926       a41    sherpa.packages/QPKGs/autobrr/build      8c54fc3d816781025a0eb2d9c9eabbfb
autobrr_250926_x86_64.qpkg       autobrr              250926       i64    sherpa.packages/QPKGs/autobrr/build      148d3fce5f5944ed6cb746e6575564c6
autobrr_250926_x86_ce53xx.qpkg   autobrr              250926       i53    sherpa.packages/QPKGs/autobrr/build      998b01496a441d022cf9e9bcd0833170
autobrr_250926_x86.qpkg          autobrr              250926       i86    sherpa.packages/QPKGs/autobrr/build      24c00b187dd9b5c3e6d95670d1041f8c
Bazarr_250926_arm_64.qpkg        Bazarr               250926       a64    sherpa.packages/QPKGs/Bazarr/build       3ec9a2d53d50406cc798841b1e825520
Bazarr_250926_x86_64.qpkg        Bazarr               250926       i64    sherpa.packages/QPKGs/Bazarr/build       2b886e76b51d232f853bb4e04be36ca4
ClamAV_250926.qpkg               ClamAV               250926       all    sherpa.packages/QPKGs/ClamAV/build       189a1b3009cf121043d4f9561ffec13b
duf_250910_arm_64.qpkg           duf                  250910       a64    duf/build                                f9a61e6dc5b834d744b98bcefb631ea7
duf_250910_arm-x31.qpkg          duf                  250910       a31    duf/build                                64f79a357575e33be5c9fcaee8e54542
duf_250910_arm-x41.qpkg          duf                  250910       a41    duf/build                                7a03577f5595c565bf800076dcc8abb8
duf_250910_x86_64.qpkg           duf                  250910       i64    duf/build                                6185392ec69315ce2b092e37ba427707
duf_250910_x86.qpkg              duf                  250910       i86    duf/build                                7666bf38b76fd3d574c479182b6900ea
Entware_1.03a_std.qpkg           Entware              1.03a        all    sherpa.packages/QPKGs/Entware/build      deb88a170716d39309d124ad77875b4d
Glances_250926_arm_64.qpkg       Glances              250926       a64    sherpa.packages/QPKGs/Glances/build      21a4ec6454bc4c6e623ff44556c3549d
Glances_250926_arm-x19.qpkg      Glances              250926       a19    sherpa.packages/QPKGs/Glances/build      1e8e25e72820deb71f46a74b60a0ec43
Glances_250926_arm-x31.qpkg      Glances              250926       a31    sherpa.packages/QPKGs/Glances/build      c5a9a5d1e6e46a140203ba80d16ad4f3
Glances_250926_arm-x41.qpkg      Glances              250926       a41    sherpa.packages/QPKGs/Glances/build      07645af55c61bcbbacec45edc18ed7e6
Glances_250926_x86_64.qpkg       Glances              250926       i64    sherpa.packages/QPKGs/Glances/build      0910832ff13adfaf61674d9c7cf7906e
Glances_250926_x86_ce53xx.qpkg   Glances              250926       i53    sherpa.packages/QPKGs/Glances/build      f9db8bb2c060a4e8d3235cc0e1dd1ad2
Glances_250926_x86.qpkg          Glances              250926       i86    sherpa.packages/QPKGs/Glances/build      6799b1a454a67f9c9cd7d5a932de4a69
Headphones_250926.qpkg           Headphones           250926       all    sherpa.packages/QPKGs/Headphones/build   7558decf503c709e6fae2e368d687371
HideThatBanner_250706.qpkg       HideThatBanner       250706       all    HideThatBanner/build                     ea3ebf44f34310acf6b213a4cf0a27e9
IncreaseTimeouts_250706.qpkg     IncreaseTimeouts     250706       all    IncreaseTimeouts/build                   5de7100fb89a787fa24979405b8ab0c1
inxi_250706.qpkg                 inxi                 250706       all    inxi/build                               2bcc4daf2c6ec5d2e7dd041855828c35
Kapowarr_250926_arm_64.qpkg      Kapowarr             250926       a64    sherpa.packages/QPKGs/Kapowarr/build     a9ca72659c2cf9a0a6906245e833b958
Kapowarr_250926_x86_64.qpkg      Kapowarr             250926       i64    sherpa.packages/QPKGs/Kapowarr/build     0a740ff9a77129fab2ec08e92ff28c62
Kapowarr_250926_x86_ce53xx.qpkg  Kapowarr             250926       i53    sherpa.packages/QPKGs/Kapowarr/build     6ba817b5ca7871f26942c28fbf32fa96
Kapowarr_250926_x86.qpkg         Kapowarr             250926       i86    sherpa.packages/QPKGs/Kapowarr/build     215064a06885724986df672fa42f4fa5
